12th percentage,cet rank,distance,branch,college
86.9,1076,14,AI,E126
73.6,8254,428,EC,E210
69.6,130628,14,ME,E205
74.4,18923,901,CE,E008
57.8,111290,835,ME,E085
65.4,107103,563,CS,E180
65.3,30276,836,CO,E237
81.5,11201,418,EE,E121
63.3,161366,5,CS,E183
79.2,11006,393,CS,E129
68,182309,14,CE,E202
59.9,68304,20,EE,E101
77.7,17508,21,EC,E036
78.3,16456,970,CS,E043
71,25083,106,EC,E032
62,82550,10,EC,E157
61.2,78677,16,EC,E092
75.3,5589,17,BT,E007
57,33440,5,IE,E106
74.4,25415,20,EI,E007
56.3,152135,438,ME,E054
72.1,14607,18,IE,E115
68.6,257039,414,EC,E044
65.6,57257,8,EE,E101
60.5,58226,5,EC,E177
75.3,6427,8,EC,E241
92.3,551,62,IE,E048
76.6,25219,7,CE,E023
72.6,17839,6,EC,E058
74.9,16526,660,BT,E114
58.7,66995,335,IE,E173
76.4,29403,711,EC,E061
77.9,22064,2,EN,E021
70.9,164004,331,IE,E177
69.9,55059,136,CS,E191
70.5,12610,421,EC,E155
82.8,10842,811,CH,E007
66.3,84410,803,EC,E029
56.1,33394,13,EC,E087
82.8,26952,120,IM,E008
65.4,32946,18,ME,E060
74.2,28506,329,CE,E061
62.7,109572,257,CE,E183
59.7,145708,7,ME,E135
68.7,250470,621,CE,E191
63.5,53962,18,CE,E099
63.2,130142,13,EC,E110
71.1,5450,395,MD,E048
72.2,139207,9,CE,E193
66,86123,742,CE,E087
80.5,14165,3,CS,E010
82.2,23178,8,EE,E024
60.5,64498,3,AU,E099
63.3,39405,570,ME,E024
72.1,18837,108,SE,E186
79.6,8900,747,EE,E121
62.6,31842,803,IE,E017
71.1,23671,947,CS,E210
68.3,34889,102,EE,E173
59.3,84563,967,ME,E165
65.2,56656,748,CE,E136
74.9,29836,165,CE,E255
72.1,10378,194,EC,E082
57.3,30472,12,CE,E079
61.4,44240,8,ME,E240
72.5,136256,8,IE,E198
77.3,15796,326,EC,E105
64.2,31916,9,ME,E047
65.4,79011,17,EC,E207
63.6,138391,19,CE,E112
77.1,9311,91,IE,E037
68.2,130695,932,CE,E199
58,67941,19,IE,E237
68.2,173125,14,ME,E095
70.3,92341,10,EE,E096
67.3,35264,20,CS,E086
72.5,139186,351,CS,E089
63.4,134553,18,EE,E165
71.1,14139,618,CE,E023
82.7,5306,4,EC,E276
71.2,17942,593,EC,E059
64.2,36545,697,EE,E034
64.2,38762,13,IE,E103
68.6,166119,14,EC,E210
70.7,33706,251,CE,E064
61.8,34581,4,EI,E049
71.9,55592,6,EE,E017
70.8,78425,16,CE,E130
70.8,28645,18,EE,E178
66.7,61325,227,TC,E091
58.2,62355,987,EE,E066
57.4,102084,308,CE,E159
68.8,51292,238,IE,E045
79.8,20191,998,EC,E113
70.2,26210,10,CE,E135
58.5,58987,12,CE,E098
72.7,7543,906,EC,E212
80.4,17753,398,AE,E146
70.4,20981,10,EE,E030
69,36736,14,EC,E144
59.1,93731,669,CS,E127
92.1,649,350,AI,E126
71,44658,561,CE,E087
59.9,48724,10,EE,E015
77.2,20671,777,CS,E221
76.3,29206,654,CE,E033
62.5,87954,3,EC,E018
60,47768,343,EE,E150
80.1,21936,749,CS,E507
84,3449,14,IE,E057
62.1,34092,950,CS,E188
81.9,16478,21,CE,E022
61.6,187732,18,ME,E032
71.8,36153,695,ME,E128
73.4,7496,965,IE,E082
80,25802,16,IE,E077
68.8,34962,18,CS,E104
60.9,61207,77,CS,E114
70.7,62767,11,EE,E102
70.1,52737,13,EC,E183
73,19701,7,CS,E011
64.9,100117,2,ME,E168
63.9,130232,418,ME,E017
61.9,48572,5,CE,E196
72.6,84337,14,ME,E147
63.3,96967,843,ME,E108
57.2,58413,692,IE,E017
61.7,100676,17,ME,E129
75.7,20063,20,EC,E162
71.8,40225,8,CS,E158
62,32479,20,BM,E036
67.4,58537,865,AT,E235
92.7,800,19,IE,E048
82.8,11700,15,CI,E232
89.5,4138,2,BT,E006
69.1,30319,8,ME,E141
70.2,8584,12,IE,E037
76.5,29115,4,CS,E101
65,79168,6,EC,E165
91.6,4508,675,EI,E048
63.6,78150,15,CS,E159
69.5,59626,10,AE,E186
72.2,14065,869,ME,E034
61.6,37613,11,EC,E102
58.2,73756,956,ME,E087
89.2,4781,408,IM,E005
70.9,155662,2,CE,E216
78.5,12046,14,EC,E049
77.7,16202,20,CE,E155
56.9,61010,4,EC,E265
81.7,17248,7,IE,E034
66.1,53745,71,EC,E093
69.3,77551,12,ME,E111
76.9,15101,401,BT,E114
64.3,155949,494,CE,E160
66.6,73945,507,IE,E070
64.7,65608,715,ME,E160
60.6,135391,14,CE,E204
81.9,21475,7,AE,E201
68.6,150832,21,EE,E144
62,32725,454,EE,E023
69.3,112435,3,ME,E154
64.6,37752,936,ME,E105
77.7,11989,819,EC,E144
71.5,21482,457,CE,E010
56.7,55404,132,EE,E216
80.2,16596,605,AE,E186
66.7,48528,400,CE,E099
69.9,140445,7,CE,E172
66.3,49617,50,EC,E175
60.5,58003,6,CS,E032
62.8,143682,50,ME,E045
58,130816,16,CE,E182
60.2,82223,12,ME,E046
71.7,92202,11,IE,E043
68.8,240992,363,EC,E136
74.3,6945,396,IE,E037
58.1,134512,149,CE,E202
67.4,35073,11,IE,E068
59.7,140882,9,EC,E191
65.3,36395,545,EC,E168
77.8,29121,8,ME,E199
57,32192,301,ME,E124
71.7,42437,913,EC,E154
67.9,165304,382,CE,E054
72.9,41247,829,ME,E161
82.3,20924,19,CS,E061
82.4,25215,8,ME,E024
75,21620,21,CS,E162
74.3,10439,771,EE,E007
68,42526,20,EC,E164
69.5,63773,12,CS,E180
70.1,31643,13,CS,E169
59.4,38354,833,ME,E023
72.3,115574,10,EC,E202
71.2,82691,3,IE,E112
60.4,50235,12,CS,E177
71.1,236609,792,EC,E237
61.7,48838,7,ME,E060
77.7,10610,17,EC,E507
82.9,19621,15,ME,E061
67.2,95194,855,CS,E089
85.9,2389,18,CS,E056
77.4,16001,9,EC,E152
70.9,54452,21,EC,E086
68.3,49013,9,EE,E031
62.3,140308,9,EC,E504
91.3,1397,8,IE,E012
58.7,63626,939,CS,E188
81.5,19987,545,CS,E075
64,50714,15,CS,E100
67.7,78458,462,CE,E237
66.3,103477,630,EC,E055
78.8,7436,420,CS,E151
60.5,92093,6,CE,E265
57.5,140468,8,CE,E216
60.9,239302,726,ME,E177
57,192333,145,ME,E096
75.5,22869,915,EE,E061
67.8,57329,339,CE,E095
68.6,126059,338,CE,E176
56.6,48109,16,EC,E101
94.4,896,14,IE,E006
58.9,50915,7,IE,E095
72.9,56285,412,EC,E158
67.8,70727,689,CE,E044
58.7,145274,180,CS,E158
58.5,78193,11,CS,E180
65.9,256550,17,EC,E273
81.6,16399,611,CE,E016
88.5,3522,423,BT,E006
67,237824,8,ME,E213
66.3,98050,16,AU,E079
70.9,42430,17,EE,E149
67.6,129874,8,CE,E173
64,68093,7,EC,E121
74.6,12985,232,IE,E053
79.8,23321,150,ME,E077
81.4,16075,216,MT,E079
78,6934,331,IE,E105
71.9,29303,20,EC,E127
82.7,14496,21,CE,E002
73,17346,13,CE,E274
72.9,96844,4,CE,E106
63.2,78600,12,EE,E210
71.3,13081,5,IE,E034
63.2,74866,5,EC,E157
74.6,23654,619,EC,E121
65.8,44469,12,CE,E196
69,155082,13,CE,E221
72.1,21630,270,BT,E012
80.8,21443,273,CE,E046
72.9,43653,487,IE,E059
77.2,9730,16,IE,E277
81.8,1670,20,IE,E008
67.8,189767,115,EC,E044
79.1,28278,146,CE,E194
56.9,176801,19,CE,E254
59.5,90322,9,EC,E184
61.5,64394,4,IE,E096
75.2,14994,768,ME,E077
71.1,57017,566,CE,E163
63.4,134096,8,EE,E175
56.9,99619,2,CE,E237
56.8,124268,17,EC,E183
59.3,72493,6,ME,E161
70,6983,21,EE,E212
65.6,74540,492,PL,E237
69.6,30655,21,ME,E082
61.3,50414,7,EE,E124
77,11253,11,CE,E038
81.4,27302,317,EC,E065
81.2,8851,7,EC,E012
95.1,809,14,SE,E005
70.2,147227,5,EC,E193
72.1,87698,103,CE,E213
60.7,118574,428,CE,E171
73,8826,21,IE,E104
65.5,80352,18,ME,E232
67.6,44812,12,CS,E161
70.8,25285,992,CS,E156
61,39276,5,CS,E169
64.2,54939,459,IE,E165
70.9,26463,538,EE,E035
71,159207,17,CS,E182
58.5,42329,687,BT,E062
66.5,55409,480,IE,E144
70.2,57117,12,EC,E106
58.9,106088,9,EC,E110
57.1,77742,793,ME,E036
60.6,40541,485,CS,E128
71.2,17232,722,IE,E178
61.1,79887,7,EE,E095
70.8,16758,20,EI,E008
71.7,107968,518,ME,E166
85.5,1141,5,CB,E057
85.8,1752,413,CH,E005
59.4,95269,4,EE,E136
77.7,16404,21,EI,E008
82.1,17443,296,CE,E185
87.2,3569,175,CS,E141
66.2,87697,949,EC,E028
74.6,22204,570,EE,E107
76.5,6840,555,EI,E008
62.7,52581,18,IE,E106
76.3,29328,678,CE,E062
90.8,968,589,BT,E048
65.4,33411,19,CE,E166
69.6,31308,19,IE,E014
77.2,14297,20,CH,E007
58.8,63188,397,EC,E123
61.1,35822,6,CE,E082
77.3,5106,13,EC,E007
61.8,42905,9,CS,E032
58.8,84670,17,CE,E081
74.9,13243,14,AE,E037
70.4,18914,524,CS,E098
60.1,50855,17,EC,E205
57,138535,19,ME,E216
69.8,309628,631,CE,E054
61.9,42731,12,EC,E194
59.5,39710,7,AE,E159
61,121470,18,CE,E104
80.7,5243,10,EC,E007
56.6,52453,763,CE,E098
70.8,70247,15,CE,E255
76,18640,9,CS,E150
68.6,91298,11,ME,E018
60.8,40898,18,CS,E044
70.4,160158,940,CE,E186
73.7,25113,733,CS,E161
58.2,40049,82,EC,E144
64.1,69493,13,CS,E046
79,12724,170,TX,E002
69.8,39541,339,CS,E152
73.3,19806,12,AE,E146
71.9,150035,2,EE,E043
66.5,33962,9,CS,E167
85.9,2535,897,BT,E006
83.1,3477,584,EC,E001
68.2,71365,8,CE,E015
72.1,32291,694,EC,E010
70,73645,19,CE,E184
66.6,90168,6,ME,E205
57.3,137591,17,EC,E159
76.5,14101,740,CS,E151
77.8,19974,123,TC,E016
74.4,6616,977,CB,E057
58.6,117962,21,CE,E210
60.6,51323,14,EE,E045
59.7,187993,19,AU,E144
80.6,10630,798,EC,E053
72.2,19710,19,EC,E014
66.3,103191,16,EE,E043
60.7,30880,8,EC,E059
59.7,41670,615,EC,E186
73.3,13316,442,EC,E062
62.7,139197,6,EC,E055
74.6,16465,75,CS,E090
60.8,43221,14,CS,E113
56.2,32531,17,CE,E115
72.7,266300,157,ME,E067
67.6,31891,596,CE,E001
77.2,12553,865,RO,E241
69.8,135004,686,ME,E124
62.1,110937,880,EC,E081
59.5,67081,890,CE,E196
70.9,9163,676,ME,E016
81.6,19914,762,CS,E152
68.5,63696,16,ME,E017
66.9,34703,454,EC,E031
60.8,85441,833,AU,E099
78.4,15002,9,IE,E212
73.8,27791,20,IE,E123
60,42210,16,EC,E204
62.5,147470,17,EE,E134
63.1,85203,190,IE,E095
71.1,60488,223,EE,E255
73.4,22263,8,ME,E016
62.5,43714,385,EC,E166
80.9,13140,17,EE,E121
61.3,140815,10,ME,E070
60.2,54419,11,CS,E265
56.4,124659,19,ME,E067
81.7,25771,16,CS,E049
61.2,121164,2,CE,E238
68.4,283149,14,ME,E152
69.6,43481,82,CS,E104
71.5,195887,730,CE,E120
61.9,104347,251,CS,E265
58.2,80480,423,EE,E066
69.6,59721,854,MT,E232
63.7,37083,405,ME,E103
70.8,137295,6,EE,E210
58.7,73640,7,CS,E109
61.8,120790,7,IE,E165
67.6,55640,236,ME,E102
56.5,36434,957,IE,E150
65,32248,20,IE,E152
66.8,329777,256,ME,E186
58.2,73632,5,CE,E015
61.6,125952,18,ME,E194
58.5,98530,555,ME,E130
64.1,71499,6,CE,E106
70.6,21790,349,IM,E003
71.2,28471,16,BT,E049
67.6,140472,6,CE,E054
74.3,9858,452,CE,E030
66,55004,129,IE,E111
79.8,22980,9,CS,E103
80.8,20035,925,EC,E167
70.3,34709,7,IM,E017
59.1,50881,15,CE,E115
65.6,47215,14,CS,E092
75.8,17990,780,EE,E061
73.9,21243,920,EE,E107
61,94041,84,EC,E188
76.4,24984,746,ME,E044
62.8,47728,688,IP,E031
66.9,93292,4,BI,E237
72.7,19986,6,CE,E021
65.2,31240,174,EC,E152
76.4,10397,947,EC,E241
65.9,31407,419,CS,E054
57.2,38809,378,ME,E061
63.6,118930,6,CE,E098
75.8,6773,9,CS,E105
56.5,44473,540,CS,E504
60.5,145578,9,EC,E203
60.6,47940,12,CS,E171
59.8,44867,20,CC,E237
82.7,24127,378,CS,E161
66.6,52822,3,ME,E154
72.7,75660,5,IE,E142
69.8,79923,21,EC,E081
70.8,14649,13,CS,E160
71.4,16712,8,CS,E156
82.5,3577,11,ME,E048
82,23568,900,EE,E108
72.8,6235,8,TC,E006
57,44361,200,CS,E070
73.5,7518,6,EE,E021
59.6,58647,16,EC,E165
64.3,157009,13,ME,E210
58.7,44601,395,CS,E128
62.1,130424,7,EE,E213
76.7,28634,956,EC,E093
63.8,94885,173,ME,E075
73.3,7296,477,EC,E060
63,89463,19,ME,E167
67.8,140840,14,CE,E206
61.2,189525,103,ME,E239
62.8,140669,10,ES,E237
90.5,1556,659,EE,E008
62.6,107238,7,CS,E159
65.1,35399,906,CE,E158
69.7,140035,2,CE,E209
63.6,34216,924,EC,E100
80.5,13618,8,CS,E061
63.8,128530,899,EE,E172
76.9,13783,776,CS,E013
78.1,25584,3,CS,E064
64.1,57753,18,CE,E046
65.5,36524,11,CE,E079
76.3,12962,3,EN,E021
67.7,114894,224,CE,E075
69.7,243759,477,EC,E210
91.1,3292,742,ME,E006
80.1,12747,16,EC,E002
58.4,123642,101,ME,E149
59.1,114153,20,ME,E146
82.7,6666,638,EC,E155
69.8,48760,589,CE,E161
76.2,17489,3,EC,E095
69.7,42827,134,ME,E012
71.8,26167,118,CE,E274
70.1,25639,7,EC,E164
77.8,11881,799,CE,E023
84.6,4967,968,CB,E057
76.5,11035,672,ME,E181
66.6,154658,735,CE,E202
56.3,56128,882,EC,E205
63.3,34589,19,CE,E105
71.1,22868,933,EE,E045
71.8,40741,4,CT,E057
75.3,12352,21,CS,E018
82.6,20761,9,BM,E042
72.5,28937,10,EC,E155
68.8,84528,13,EC,E120
69.6,245113,16,EE,E040
65.8,55858,13,CE,E150
56.8,48729,179,CE,E196
70.4,8901,320,BT,E057
70.7,15600,12,CS,E036
81.3,8930,17,TC,E016
69,161404,18,EE,E175
70.6,20837,14,CS,E043
57.4,35150,11,EC,E151
87,3344,581,BT,E006
89,1577,12,CS,E001
71.3,59019,898,EI,E082
63.7,58833,608,CS,E070
62.5,82040,6,EE,E177
60.7,61683,435,CS,E111
63.6,78865,6,CE,E216
77.9,14465,774,IE,E123
59.2,48009,772,EE,E096
74.6,26813,12,ME,E156
91.2,1370,17,CS,E056
79.5,11204,5,EC,E031
64.8,73780,20,EC,E077
80.9,18135,7,CE,E207
69.2,30706,3,CE,E167
64.1,65873,15,EI,E061
75.5,17187,650,ME,E053
85,2056,15,CS,E126
57.3,45373,495,EE,E059
77,29137,9,ME,E115
61.1,92243,20,EC,E109
59.9,49059,11,CE,E157
64.4,254609,12,CE,E198
59.3,46915,942,EE,E173
56.4,122327,79,CE,E127
72.5,21303,11,EC,E115
71,88391,849,EC,E135
56.2,83413,15,ME,E189
94,329,12,EC,E003
78.5,13996,110,CS,E212
65.9,91891,961,CE,E028
90.6,3532,670,CS,E097
62.3,127407,387,ME,E097
82.2,9432,89,EC,E107
69.6,164123,363,ME,E086
62.9,42941,193,CE,E151
58.6,106224,8,ME,E194
68.2,190581,2,IE,E045
80.7,2906,19,BT,E048
82.8,5381,231,CS,E168
68.8,192805,18,EE,E210
65.3,76785,355,ME,E149
73,18313,18,AE,E159
62.2,82233,446,EE,E150
59.9,69155,73,CE,E237
72.2,68248,510,EC,E029
62.1,34867,626,ME,E181
67.4,97072,9,EC,E092
62.9,67542,310,CE,E103
69.4,64717,354,AT,E235
66,330529,9,ME,E145
89.1,4131,540,BT,E007
63.6,160752,267,CS,E120
90.9,2541,981,SE,E235
72.9,67735,15,EE,E237
63.7,110744,4,ME,E272
56,148540,664,CE,E184
72.1,6305,711,EC,E030
58.6,43875,6,ME,E212
66.1,40803,11,CS,E044
69.4,154799,947,CS,E181
79.4,15504,184,CS,E194
67.7,108814,594,ME,E123
74.3,9651,72,IE,E115
72,73402,7,CS,E076
66,31897,21,CS,E175
68.2,76564,556,IE,E087
59.2,32296,236,IP,E045
82,29068,146,ME,E124
64.8,39329,724,CS,E134
66.7,65693,19,IE,E144
61.3,35941,512,IE,E014
74.1,23261,7,EE,E041
61.6,78706,2,CE,E171
56.6,95102,17,EC,E018
73.2,15090,21,ME,E056
63.4,48482,204,CH,E011
81.1,11008,17,EE,E034
58.1,99136,206,EC,E194
60.7,50194,450,EC,E095
60.2,99625,363,EC,E232
64.2,56840,116,EE,E076
80.5,3476,6,EE,E008
72.7,45808,147,TC,E007
84.9,4859,194,IE,E212
70.4,29208,13,CE,E034
59.6,32610,4,EC,E041
69.9,81868,324,CE,E504
57.4,106879,20,CS,E045
61.5,51860,5,CS,E194
75.1,27710,16,ME,E023
65,45365,199,IP,E031
74.4,20344,151,EE,E178
75.2,12003,19,BT,E057
73.3,26305,343,EC,E164
78.2,16809,186,CS,E133
74.6,13838,504,ME,E128
78.8,22264,14,CS,E150
81.1,23311,917,EE,E115
75.6,23972,193,CE,E071
76.7,8914,663,EE,E016
70.9,94854,9,IM,E017
61.3,90623,6,CE,E013
64.9,48787,21,CS,E015
60,77485,17,EC,E173
76.8,8918,307,ME,E007
63.7,33181,4,CE,E062
58,50345,9,EC,E135
71.7,39500,613,CS,E117
71.7,102907,556,EE,E136
69,76377,726,TX,E032
56.9,133683,883,EC,E180
67.2,42898,5,CE,E079
69.9,40268,20,CS,E167
66.8,82235,19,IE,E110
75.6,17351,2,EI,E047
60,48781,548,CH,E044
69.3,213992,99,EC,E191
61.5,34152,802,AU,E059
63.8,85827,5,EC,E121
66.3,64478,4,CE,E077
71.8,34799,805,EC,E145
80.5,20056,3,EC,E105
59.2,57697,527,IE,E209
63.8,63575,16,EC,E015
69,188428,8,AU,E144
82.1,9771,336,CS,E064
58.4,92968,10,BI,E237
72.5,17292,161,ME,E030
73.1,26587,434,CS,E257
87,2802,407,EC,E021
56.6,82217,709,CE,E232
88,1724,12,AE,E007
65.8,31907,17,EC,E252
63.7,77616,454,CS,E265
70.1,137994,10,EE,E216
70.7,59393,12,ME,E156
58,70987,765,CS,E504
97.1,290,910,CS,E048
71,61315,20,ME,E011
79.3,19832,358,SE,E011
70.4,91665,91,EC,E042
58.6,59504,19,AU,E049
62.8,148903,417,CS,E089
63.8,117071,7,EC,E045
58.3,71628,16,EC,E013
69.1,138002,2,EE,E203
65.5,35493,709,CE,E001
77.6,16383,240,IE,E103
81.7,19494,213,CS,E274
77,6964,651,IE,E071
59.3,30779,6,EC,E196
65.4,43034,84,CS,E028
61.6,67301,324,CE,E164
64.1,36278,14,IE,E017
80.4,12428,19,EE,E061
79.2,9200,117,CE,E185
75.6,12754,4,EC,E150
59.1,98578,7,EE,E185
68.4,134165,765,EE,E112
89.7,4544,314,EE,E126
66.1,43245,17,CS,E055
76.2,12862,813,CS,E235
74.2,17983,6,CS,E155
76,14534,926,AE,E105
81.9,20560,2,IE,E011
60.3,54416,11,EE,E033
66.2,119832,16,ME,E204
70.8,41018,778,CS,E156
67.6,35059,19,IE,E106
69.5,225690,4,EC,E044
73,37324,476,IE,E130
64.4,40564,12,IE,E111
83.4,3357,6,IE,E126
84.3,3882,262,AE,E007
60.6,290448,564,CE,E093
61,195382,17,EI,E059
90.7,1036,17,CS,E021
76.3,25950,319,CS,E104
72.9,109207,742,EE,E139
72.1,17195,508,BM,E124
68,164169,165,EE,E135
74,15306,6,EC,E066
68.4,108799,458,ME,E127
71.9,32364,189,CE,E004
56.2,231766,735,ME,E089
66.6,32246,556,MN,E079
72,52352,3,ME,E115
63.8,34215,3,BM,E124
73.5,25288,542,EC,E092
96.6,902,442,EE,E008
60.5,184648,368,CE,E204
60.5,57534,693,CE,E203
57.9,35817,21,BT,E241
79.4,29550,13,CS,E162
64.8,35210,531,EC,E065
67,60637,126,CS,E149
70.4,47665,6,CE,E150
61.5,40451,424,ME,E209
57.2,179428,15,CE,E191
72.9,341778,834,CE,E180
61.9,81250,77,CE,E209
76.3,25353,12,CE,E158
72.1,95672,640,EC,E204
56.4,32198,109,IE,E101
71.3,179952,4,ME,E194
64.2,74002,359,CS,E087
60.9,72047,6,EE,E124
63.2,95140,9,ME,E086
71.6,44463,748,CE,E017
66.3,42070,21,ME,E103
78,22576,950,CO,E237
75.7,22995,16,EC,E078
71.5,70501,7,EE,E077
71.5,66835,7,CS,E055
71.9,104126,4,EE,E086
68.6,78164,125,EC,E202
60.6,52691,17,CE,E101
76.8,10793,6,CS,E099
74.1,23194,13,EE,E232
69.9,124856,7,ME,E054
69.1,141140,8,CE,E093
66,157059,62,ME,E151
71.2,58779,5,CS,E119
62.8,64032,16,ME,E029
80.3,28341,298,IE,E145
79.7,12166,637,CE,E065
60.4,33739,543,EI,E042
71,30400,206,CS,E210
84.3,4158,354,EC,E141
71.3,10334,9,EC,E024
80.2,2720,14,IE,E057
81.4,3765,296,CE,E012
59.3,35351,584,IE,E237
63.4,32147,955,EC,E066
76.8,21335,587,ME,E010
65.9,233185,921,CE,E202
76.7,21223,21,CS,E123
78.2,29048,832,EC,E038
60.3,50373,115,AU,E144
63.8,37947,21,CS,E075
71.4,28834,2,EC,E097
77.5,20305,788,CE,E032
61.5,82277,20,CE,E257
83,21385,21,EE,E128
62.8,37453,9,CS,E091
81.9,1316,171,IE,E008
78,15866,510,EC,E079
97.4,144,58,ME,E005
71.7,45208,643,IE,E087
66.1,308209,333,ME,E152
71,21207,12,EE,E166
57.9,63338,17,IM,E017
60.1,106429,19,CS,E181
79,19632,366,EC,E059
77.8,22804,193,TC,E016
79.3,20915,747,CS,E160
72.9,74590,505,CS,E180
61.1,54007,421,CE,E273
74,14707,736,CS,E168
67.3,66330,406,CE,E135
63.4,201809,17,ME,E055
60.1,51093,10,ME,E199
72.2,40559,5,EE,E108
84.1,3715,757,IE,E007
58.2,133897,2,ME,E186
60.1,71633,799,IE,E101
65.6,85512,287,EE,E175
81.2,14486,8,MT,E232
82.2,21339,276,SE,E240
71.7,435498,11,EE,E216
81.8,19448,7,EC,E087
70.6,111737,6,ME,E189
69.5,38569,222,CH,E044
68.2,61059,11,CS,E110
65.9,66871,411,EC,E199
71.8,91653,55,EC,E173
81,3996,751,EC,E021
86,4094,204,BT,E009
66.5,52362,21,ME,E124
69.4,50773,701,ME,E199
70.1,11325,8,SE,E014
70.2,103020,21,ME,E210
74.4,24987,836,EE,E065
70.1,41436,21,EI,E008
70.4,131212,11,EC,E112
65.5,140267,16,CE,E221
65.6,89065,8,CS,E136
66.1,54058,2,EC,E104
61.4,81701,998,CE,E077
74.1,28238,580,BT,E062
81.9,22822,394,CE,E016
59.3,32489,388,CS,E507
80.9,10950,8,IE,E060
70.4,5585,20,CS,E235
70,35507,78,CS,E210
56.9,54926,224,ME,E167
67.9,100770,688,EC,E120
72.9,44698,18,CS,E161
60.1,104042,65,IE,E100
77.7,29646,9,CE,E034
70.2,27603,182,ME,E071
65.8,313961,17,CS,E183
56.1,131984,699,EE,E273
61.9,71942,68,CS,E185
71.2,152060,379,EE,E237
63.4,37871,982,CE,E255
81.6,13952,5,CS,E166
65.6,50639,266,EC,E015
81.8,12813,2,CS,E507
61.8,87448,766,EE,E177
62.2,144919,16,EE,E135
73,14883,809,CE,E194
70.2,41115,917,CS,E139
60.5,44378,157,EE,E035
66.9,95125,250,CE,E121
56.6,102099,257,ME,E132
75.7,23604,15,EC,E078
69,248161,906,EI,E133
56.2,157578,14,IE,E177
76.5,14564,6,EE,E241
90.5,698,7,EC,E048
73.7,26007,472,MT,E078
71.7,122774,9,EC,E147
70.4,7831,12,EE,E016
87.7,3438,16,CS,E012
81.9,12111,592,EC,E150
61.6,32033,20,EE,E067
66.2,131289,19,ME,E134
84.1,4984,8,CE,E003
60.8,269355,18,ME,E206
77.3,5359,21,EC,E023
66.4,43490,7,EE,E232
71,48970,6,CE,E157
61.7,49409,21,CE,E161
82.1,8334,14,EC,E006
72.5,52918,363,EC,E255
62.3,41081,944,TC,E091
56.5,116957,8,EE,E185
71.4,47586,17,EE,E067
62.5,94764,11,EE,E132
68.9,51241,947,EE,E232
61.5,112690,18,EC,E227
68.9,91823,9,CE,E164
66.9,120196,200,CE,E184
65.3,71691,2,EC,E161
71.1,87425,15,EC,E157
62.9,76569,13,EC,E198
63.4,49656,11,CE,E014
63.5,42878,7,ME,E059
60.8,96469,887,ME,E207
66.7,30955,4,ME,E142
76.6,6024,250,IE,E016
77.4,26872,14,CE,E023
66.9,136736,5,ME,E127
59.6,60124,380,EC,E017
64.2,88237,7,ME,E114
70.5,68890,16,CS,E070
57.3,115095,223,CE,E193
75,26795,14,CE,E041
65.2,58688,267,CS,E055
69.1,166554,10,EE,E273
85.7,2066,570,ME,E009
69.4,53703,19,EE,E150
64.3,60213,423,CE,E045
56.1,62234,835,EE,E086
60.4,153140,810,ME,E089
61.4,94951,2,AU,E099
65.3,111435,19,CE,E238
57.8,99233,7,ME,E204
87.1,1649,18,EI,E005
57,40211,10,IE,E252
73.8,28527,352,CS,E274
68.1,40596,21,EC,E158
75,14334,976,AE,E079
62.6,69716,258,IE,E045
76,13035,5,IE,E097
80.7,14702,5,EC,E071
56.7,57628,12,CS,E132
72.5,96424,19,ME,E098
92.6,282,144,EC,E005
60.2,137495,19,ME,E252
76.7,13305,3,CE,E009
62.1,224883,619,ME,E210
67.3,193885,326,ME,E101
72.8,82941,11,ME,E106
72.2,18193,17,EE,E053
69.1,122095,5,EC,E237
75.5,25111,4,CS,E145
61.9,110758,202,CE,E152
77.9,22633,9,CS,E018
61.6,78881,20,CE,E104
73,116940,933,CS,E180
70.5,20730,513,EC,E031
87.6,2811,9,BT,E048
61.6,51893,13,CS,E158
71.4,24071,12,CT,E007
70.9,137488,5,CS,E264
64.1,40865,620,AE,E144
58.4,72834,4,ME,E033
72.8,13634,13,EC,E105
72.2,118839,10,ME,E165
79.5,24149,258,EC,E235
81.9,27863,9,CH,E034
70.9,60462,762,CE,E099
76.4,8478,19,IE,E082
69,90801,18,ES,E237
76.1,18221,88,ME,E115
70.6,59687,602,EE,E181
63.9,171535,16,ME,E094
69.6,35136,15,ME,E199
69.3,37436,453,CE,E135
73.3,20561,523,SE,E014
65,43134,853,CS,E157
57.1,48012,53,AE,E144
57.5,32751,528,CE,E098
81.4,10463,17,CE,E009
71.1,126866,895,CE,E117
63.6,58864,20,CS,E185
80.2,1626,13,EI,E005
74.8,10587,5,BT,E012
74.6,22234,4,BT,E078
69.3,96244,7,ME,E272
70.8,50675,598,ME,E023
62.5,30844,2,IE,E133
72.3,215465,61,EC,E216
66.1,165476,855,CE,E173
67.4,44940,13,BT,E114
59,66440,286,EE,E152
58.6,99784,153,CS,E185
67.8,36606,332,CE,E037
97.8,115,15,CS,E006
75.5,9464,335,CS,E168
61.2,37064,18,CS,E135
58.7,67350,699,ME,E175
83.4,1558,3,CS,E056
64,50749,656,CS,E106
61.6,33812,958,IE,E087
61.7,90022,852,CS,E159
81.6,25344,543,CS,E161
72,86710,858,MT,E111
71.9,204312,337,CE,E198
72.7,20372,11,IE,E060
70.3,42640,15,ME,E047
76.4,20852,425,EC,E091
59.2,45096,20,EE,E101
66.8,77961,3,IE,E114
63.5,64493,919,ME,E029
